iter	RMSE
0	8.726801694
1	8.209915921
2	7.796810106
3	7.330693769
4	6.972796592
5	6.642322241
6	6.31114677
7	6.013258864
8	5.743436547
9	5.506978832
10	5.263514967
11	4.997783046
12	4.83497132
13	4.664229012
14	4.52389233
15	4.350473407
16	4.197612522
17	4.100821724
18	3.972059781
19	3.858354832
20	3.784707887
21	3.696966598
22	3.627376286
23	3.537901269
24	3.448662941
25	3.391442552
26	3.331333088
27	3.269962547
28	3.213596942
29	3.153242856
30	3.114786633
31	3.073465764
32	3.032080373
33	2.994266804
34	2.936619269
35	2.907994965
36	2.88180849
37	2.840653549
38	2.820194847
39	2.79551134
40	2.773964999
41	2.752259659
42	2.734717795
43	2.687473026
44	2.660317197
45	2.627080457
46	2.608298065
47	2.589396789
48	2.558424129
49	2.534845424
50	2.523703835
51	2.514770603
52	2.487701929
53	2.460138206
54	2.44623753
55	2.435849727
56	2.419504086
57	2.402765463
58	2.391966087
59	2.37168979
60	2.357869757
61	2.344347997
62	2.333840912
63	2.313444032
64	2.298303787
65	2.281735351
66	2.26266397
67	2.25812831
68	2.241937993
69	2.238569569
70	2.221060671
71	2.204714984
72	2.200637832
73	2.185988864
74	2.176698478
75	2.166508114
76	2.159686894
77	2.138607543
78	2.133970466
79	2.123935334
80	2.112029507
81	2.09961662
82	2.080200171
83	2.06867438
84	2.066442438
85	2.06388748
86	2.052818294
87	2.037115645
88	2.022681858
89	2.012288628
90	2.005387214
91	2.003022872
92	1.992270329
93	1.981328227
94	1.96857554
95	1.960157568
96	1.955522733
97	1.946235117
98	1.933947663
99	1.921229503
100	1.91432824
101	1.900309459
102	1.893446327
103	1.876688948
104	1.863165579
105	1.856449404
106	1.845096015
107	1.834454753
108	1.821649313
109	1.813195899
110	1.806953366
111	1.799529376
112	1.792727579
113	1.783730459
114	1.777733973
115	1.768264857
116	1.76010478
117	1.753863239
118	1.746703336
119	1.73525371
120	1.728110361
121	1.724647207
122	1.717704276
123	1.70972341
124	1.70265258
125	1.690798855
126	1.676157928
127	1.669985768
128	1.659474334
129	1.649796497
130	1.643518737
131	1.632574983
132	1.620566717
133	1.612928208
134	1.607138271
135	1.603855194
136	1.595961432
137	1.591272177
138	1.585467023
139	1.575695607
140	1.570195871
141	1.560594765
142	1.554521988
143	1.54344886
144	1.540339995
145	1.535675525
146	1.527738735
147	1.520188326
148	1.51219574
149	1.505066779
150	1.502262217
151	1.492482423
152	1.483065058
153	1.476398151
154	1.467017026
155	1.45929979
156	1.456236041
157	1.450687831
158	1.441141688
159	1.437024926
160	1.424904096
161	1.416554824
162	1.409903211
163	1.406131171
164	1.402278739
165	1.397899215
166	1.391546402
167	1.381282123
168	1.373390666
169	1.365215702
170	1.356826673
171	1.351752002
172	1.345741265
173	1.340531506
174	1.335249674
175	1.330897721
176	1.323033772
177	1.31925844
178	1.315623822
179	1.313399809
180	1.30376695
181	1.297280772
182	1.293947802
183	1.286121666
184	1.281090491
185	1.276978573
186	1.27141579
187	1.262113531
188	1.256263612
189	1.252810863
190	1.246484304
191	1.23698866
192	1.230101781
193	1.22769632
194	1.220925609
195	1.215813093
196	1.211233142
197	1.204706267
198	1.198650179
199	1.191071706
