iter	Passed	Remaining
0	0	183
1	1	158
2	2	147
3	2	142
4	3	140
5	4	137
6	4	137
7	6	147
8	7	152
9	8	154
10	8	154
11	9	151
12	10	149
13	11	146
14	11	144
15	12	141
16	12	139
17	13	137
18	14	136
19	14	134
20	15	132
21	16	131
22	16	130
23	17	129
24	18	128
25	19	127
26	19	127
27	21	129
28	21	128
29	22	127
30	23	126
31	23	125
32	24	124
33	25	123
34	25	122
35	26	121
36	27	120
37	28	119
38	28	118
39	29	117
40	30	116
41	30	115
42	31	114
43	32	113
44	32	112
45	33	111
46	34	110
47	34	110
48	35	109
49	36	109
50	37	109
51	38	109
52	39	108
53	40	108
54	40	107
55	41	107
56	42	106
57	43	106
58	44	105
59	45	105
60	45	104
61	46	104
62	47	103
63	48	102
64	49	101
65	49	100
66	50	100
67	51	99
68	51	98
69	52	97
70	53	96
71	53	95
72	54	94
73	55	93
74	55	93
75	56	92
76	57	91
77	57	90
78	58	89
79	59	88
80	59	88
81	60	87
82	61	86
83	62	85
84	62	84
85	63	84
86	64	83
87	64	82
88	65	81
89	66	80
90	66	80
91	67	79
92	68	78
93	68	77
94	69	76
95	70	76
96	70	75
97	71	74
98	72	73
99	72	72
100	73	72
101	74	71
102	74	70
103	75	69
104	76	69
105	77	68
106	77	67
107	78	66
108	79	66
109	79	65
110	80	64
111	81	63
112	82	63
113	82	62
114	83	61
115	84	60
116	84	60
117	85	59
118	86	58
119	86	57
120	87	57
121	88	56
122	88	55
123	89	54
124	90	54
125	91	53
126	91	52
127	92	51
128	93	51
129	93	50
130	94	49
131	95	49
132	96	48
133	96	47
134	97	46
135	98	46
136	98	45
137	99	44
138	99	43
139	100	43
140	101	42
141	102	41
142	102	40
143	103	40
144	104	39
145	104	38
146	105	38
147	106	37
148	106	36
149	107	35
150	108	35
151	108	34
152	109	33
153	110	32
154	110	32
155	111	31
156	112	30
157	112	30
158	113	29
159	114	28
160	114	27
161	115	27
162	116	26
163	117	25
164	117	24
165	118	24
166	119	23
167	119	22
168	120	22
169	121	21
170	121	20
171	122	19
172	123	19
173	123	18
174	124	17
175	125	17
176	125	16
177	126	15
178	127	14
179	127	14
180	128	13
181	129	12
182	129	12
183	130	11
184	131	10
185	131	9
186	132	9
187	133	8
188	133	7
189	134	7
190	135	6
191	135	5
192	136	4
193	137	4
194	137	3
195	138	2
196	139	2
197	140	1
198	140	0
199	141	0
